"tabela","categoria","idade_cat","sexo","region_cadunico","med_altura","med_peso","med_imc","n_dist"
"estados","Paraiba","0 - 5m","Feminino","Urbana",-0.44,0.09,0.48,4058
"estados","Parana","0 - 5m","Feminino","Rural",-0.75,-0.4,0.02,2308
"estados","Parana","0 - 5m","Feminino","Urbana",-0.75,-0.41,0,12541
"estados","Pernambuco","0 - 5m","Feminino","Rural",-0.45,0.05,0.44,1688
"estados","Pernambuco","0 - 5m","Feminino","Urbana",-0.45,0.01,0.39,3101
"estados","Piaui","0 - 5m","Feminino","Rural",-0.13,0.18,0.37,665
"estados","Piaui","0 - 5m","Feminino","Urbana",-0.03,0.19,0.31,762
"estados","Rio Grande do Norte","0 - 5m","Feminino","Rural",-0.29,0.1,0.39,728
"estados","Rio Grande do Norte","0 - 5m","Feminino","Urbana",-0.33,0.12,0.42,1436
"estados","Rio Grande do Sul","0 - 5m","Feminino","Rural",-0.86,-0.37,0.17,972
"estados","Rio Grande do Sul","0 - 5m","Feminino","Urbana",-0.88,-0.43,0.08,5835
"estados","Rio de Janeiro","0 - 5m","Feminino","Rural",-0.9,-0.41,0.13,346
"estados","Rio de Janeiro","0 - 5m","Feminino","Urbana",-0.7,-0.28,0.16,2307
"estados","Rondonia","0 - 5m","Feminino","Rural",-0.32,-0.06,0.18,137
"estados","Rondonia","0 - 5m","Feminino","Urbana",-0.54,0.11,0.6,190
"estados","Roraima","0 - 5m","Feminino","Rural",-0.56,0.1,0.57,11
"estados","Roraima","0 - 5m","Feminino","Urbana",-0.42,0.49,1.02,49
"estados","Santa Catarina","0 - 5m","Feminino","Rural",-0.84,-0.44,0.05,1308
"estados","Santa Catarina","0 - 5m","Feminino","Urbana",-0.76,-0.43,-0.02,5155
"estados","Sao Paulo","0 - 5m","Feminino","Rural",-0.76,-0.39,0.04,1375
"estados","Sao Paulo","0 - 5m","Feminino","Urbana",-0.72,-0.38,0.03,12365
"estados","Sergipe","0 - 5m","Feminino","Rural",-0.33,0.3,0.71,380
"estados","Sergipe","0 - 5m","Feminino","Urbana",-0.35,0.36,0.8,608
