"tabela","categoria","idade_cat","sexo","med_altura","med_peso","med_imc","n_dist"
"estados","Amapa","18 - 23m","Masculino",-1.26,-0.14,0.9,1942
"estados","Amazonas","18 - 23m","Masculino",-1.09,-0.19,0.69,20299
"estados","Bahia","18 - 23m","Masculino",-0.49,0.08,0.55,79237
"estados","Ceara","18 - 23m","Masculino",-0.56,0.3,0.91,52800
"estados","Distrito Federal","18 - 23m","Masculino",-0.66,-0.04,0.53,2599
"estados","Espirito Santo","18 - 23m","Masculino",-0.32,0.27,0.67,12052
"estados","Goias","18 - 23m","Masculino",-0.52,0.08,0.58,15930
"estados","Maranhao","18 - 23m","Masculino",-0.97,-0.16,0.62,42252
"estados","Mato Grosso","18 - 23m","Masculino",-0.59,0.04,0.58,9188
"estados","Mato Grosso do Sul","18 - 23m","Masculino",-0.64,0.1,0.7,9052
"estados","Minas Gerais","18 - 23m","Masculino",-0.4,0.17,0.59,77017
"estados","Para","18 - 23m","Masculino",-1.05,-0.16,0.7,39450
"estados","Paraiba","18 - 23m","Masculino",-0.41,0.33,0.83,31308
"estados","Parana","18 - 23m","Masculino",-0.39,0.29,0.75,49004
"estados","Pernambuco","18 - 23m","Masculino",-0.48,0.29,0.83,39864
"estados","Piaui","18 - 23m","Masculino",-0.6,0.02,0.55,20088
"estados","Rio Grande do Norte","18 - 23m","Masculino",-0.52,0.27,0.84,15264
"estados","Rio Grande do Sul","18 - 23m","Masculino",-0.54,0.32,0.93,23328
"estados","Rio de Janeiro","18 - 23m","Masculino",-0.66,0.13,0.77,24893
"estados","Rondonia","18 - 23m","Masculino",-0.49,0.12,0.6,4242
"estados","Roraima","18 - 23m","Masculino",-1.05,-0.17,0.69,2192
"estados","Santa Catarina","18 - 23m","Masculino",-0.54,0.16,0.71,10187
"estados","Sao Paulo","18 - 23m","Masculino",-0.59,0.16,0.74,61410
"estados","Sergipe","18 - 23m","Masculino",-0.4,0.31,0.8,12099
"estados","Tocantins","18 - 23m","Masculino",-0.77,-0.04,0.62,8387
"estados","Acre","2a","Feminino",-0.65,-0.16,0.34,8637
"estados","Alagoas","2a","Feminino",-0.23,0.19,0.46,35816
"estados","Amapa","2a","Feminino",-0.98,-0.34,0.38,4475
"estados","Amazonas","2a","Feminino",-0.81,-0.27,0.33,43710
"estados","Bahia","2a","Feminino",-0.13,0.1,0.23,154005
"estados","Ceara","2a","Feminino",-0.23,0.25,0.56,104639
"estados","Distrito Federal","2a","Feminino",-0.32,0,0.26,5314
"estados","Espirito Santo","2a","Feminino",-0.04,0.22,0.33,22415
"estados","Goias","2a","Feminino",-0.13,0.12,0.27,32306
